W1,W2,W3,W4,W5,W6,W7,W8,,B1,B2,B3,B4,B5,B6,B7,B8
0.49,0.469,0.431,0.453,0.459,0.425,0.479,0.474,,0.486,0.466,0.429,0.452,0.451,0.416,0.474,0.469
0.487,0.459,0.434,0.46,0.458,0.425,0.481,0.466,,0.479,0.451,0.425,0.452,0.446,0.413,0.472,0.458
0.495,0.456,0.431,0.461,0.459,0.426,0.484,0.459,,0.482,0.446,0.418,0.448,0.446,0.41,0.472,0.45
0.49,0.465,0.431,0.453,0.449,0.423,0.481,0.463,,0.482,0.452,0.418,0.441,0.446,0.411,0.468,0.453
0.488,0.463,0.42,0.451,0.453,0.419,0.476,0.459,,0.48,0.451,0.411,0.438,0.445,0.408,0.464,0.451
0.482,0.463,0.421,0.445,0.452,0.416,0.47,0.455,,0.476,0.449,0.409,0.434,0.444,0.405,0.461,0.447
0.476,0.461,0.416,0.44,0.441,0.408,0.468,0.456,,0.474,0.448,0.409,0.432,0.434,0.4,0.46,0.447
0.483,0.462,0.422,0.444,0.447,0.411,0.47,0.458,,0.475,0.449,0.411,0.436,0.439,0.402,0.461,0.449
0.49,0.465,0.424,0.45,0.458,0.417,0.479,0.464,,0.48,0.453,0.412,0.438,0.443,0.405,0.466,0.453
0.491,0.468,0.423,0.449,0.466,0.429,0.48,0.467,,0.482,0.459,0.414,0.441,0.45,0.415,0.469,0.458
0.495,0.471,0.428,0.451,0.461,0.424,0.481,0.471,,0.488,0.465,0.424,0.447,0.452,0.414,0.474,0.464
0.491,0.476,0.429,0.453,0.444,0.421,0.478,0.472,,0.487,0.474,0.429,0.454,0.438,0.413,0.475,0.469
0.497,0.478,0.43,0.455,0.46,0.427,0.479,0.466,,0.49,0.473,0.428,0.453,0.452,0.418,0.474,0.461
0.503,0.47,0.422,0.457,0.464,0.429,0.477,0.459,,0.488,0.462,0.415,0.448,0.452,0.417,0.472,0.453
0.49,0.471,0.433,0.465,0.456,0.427,0.48,0.465,,0.482,0.459,0.417,0.448,0.446,0.412,0.47,0.456
0.486,0.466,0.432,0.462,0.456,0.427,0.479,0.465,,0.479,0.452,0.415,0.443,0.448,0.414,0.468,0.453
0.485,0.455,0.426,0.448,0.451,0.417,0.472,0.461,,0.477,0.445,0.413,0.436,0.443,0.407,0.463,0.451
0.482,0.458,0.426,0.448,0.454,0.422,0.473,0.464,,0.474,0.446,0.414,0.433,0.444,0.408,0.461,0.454
0.479,0.464,0.425,0.44,0.451,0.423,0.467,0.472,,0.474,0.446,0.412,0.43,0.442,0.409,0.458,0.455
0.477,0.462,0.426,0.446,0.45,0.425,0.468,0.469,,0.473,0.447,0.413,0.435,0.441,0.41,0.46,0.455
0.49,0.463,0.432,0.456,0.45,0.421,0.475,0.47,,0.479,0.45,0.418,0.44,0.44,0.408,0.463,0.457
0.492,0.473,0.43,0.453,0.462,0.425,0.481,0.474,,0.481,0.462,0.421,0.443,0.451,0.414,0.47,0.464
0.491,0.472,0.435,0.456,0.466,0.433,0.482,0.476,,0.484,0.466,0.431,0.452,0.456,0.422,0.474,0.47
0.491,0.469,0.433,0.454,0.46,0.43,0.479,0.476,,0.486,0.467,0.433,0.455,0.454,0.423,0.475,0.472
0.493,0.466,0.43,0.453,0.453,0.426,0.482,0.473,,0.487,0.463,0.427,0.451,0.448,0.418,0.476,0.467
0.494,0.468,0.433,0.459,0.461,0.43,0.484,0.471,,0.486,0.46,0.424,0.45,0.452,0.419,0.474,0.463
0.495,0.472,0.437,0.459,0.46,0.427,0.483,0.471,,0.484,0.459,0.421,0.444,0.45,0.414,0.47,0.46
0.497,0.469,0.432,0.457,0.457,0.423,0.479,0.47,,0.484,0.455,0.416,0.439,0.445,0.411,0.465,0.457
0.493,0.47,0.424,0.449,0.46,0.421,0.473,0.464,,0.481,0.453,0.411,0.436,0.448,0.41,0.461,0.454
0.483,0.46,0.421,0.448,0.457,0.426,0.474,0.461,,0.476,0.45,0.412,0.437,0.447,0.411,0.459,0.452
0.476,0.459,0.42,0.441,0.448,0.426,0.469,0.462,,0.474,0.449,0.41,0.433,0.442,0.41,0.458,0.451
0.477,0.459,0.423,0.446,0.441,0.424,0.475,0.464,,0.472,0.448,0.412,0.435,0.436,0.408,0.461,0.452
0.488,0.469,0.428,0.453,0.457,0.424,0.476,0.472,,0.476,0.455,0.416,0.44,0.446,0.411,0.463,0.458
0.493,0.468,0.433,0.462,0.463,0.427,0.48,0.472,,0.484,0.46,0.424,0.451,0.451,0.417,0.47,0.462
0.498,0.474,0.429,0.461,0.461,0.431,0.483,0.474,,0.491,0.469,0.425,0.457,0.452,0.422,0.476,0.469
0.495,0.477,0.427,0.459,0.454,0.428,0.479,0.474,,0.49,0.474,0.427,0.46,0.448,0.421,0.475,0.471
0.491,0.475,0.423,0.459,0.458,0.432,0.479,0.468,,0.484,0.47,0.42,0.458,0.452,0.425,0.474,0.465
