W1,W2,W3,W4,W5,W6,W7,W8,,B1,B2,B3,B4,B5,B6,B7,B8
0.477,0.452,0.413,0.44,0.436,0.419,0.464,0.461,,0.476,0.448,0.41,0.435,0.436,0.406,0.46,0.454
0.477,0.458,0.417,0.45,0.437,0.414,0.467,0.465,,0.476,0.448,0.411,0.439,0.435,0.404,0.461,0.454
0.483,0.462,0.426,0.453,0.441,0.417,0.473,0.468,,0.477,0.453,0.416,0.44,0.438,0.406,0.465,0.458
0.482,0.464,0.43,0.46,0.452,0.423,0.476,0.468,,0.476,0.456,0.421,0.45,0.448,0.415,0.467,0.461
0.494,0.47,0.43,0.459,0.465,0.428,0.481,0.473,,0.489,0.465,0.426,0.456,0.457,0.418,0.476,0.467
0.495,0.476,0.433,0.461,0.46,0.435,0.486,0.476,,0.492,0.474,0.432,0.461,0.455,0.428,0.481,0.473
0.492,0.484,0.434,0.462,0.462,0.433,0.489,0.479,,0.486,0.479,0.431,0.46,0.454,0.424,0.482,0.473
0.495,0.47,0.435,0.463,0.454,0.431,0.483,0.471,,0.489,0.463,0.427,0.455,0.445,0.422,0.475,0.464
0.489,0.467,0.433,0.456,0.454,0.426,0.479,0.468,,0.484,0.457,0.423,0.445,0.448,0.414,0.471,0.459
0.484,0.461,0.429,0.451,0.45,0.419,0.476,0.461,,0.48,0.455,0.418,0.442,0.445,0.411,0.468,0.454
0.49,0.458,0.422,0.451,0.45,0.415,0.469,0.46,,0.484,0.453,0.415,0.443,0.449,0.412,0.462,0.455
0.48,0.454,0.422,0.445,0.449,0.417,0.467,0.455,,0.476,0.449,0.414,0.441,0.446,0.41,0.462,0.452
0.476,0.454,0.415,0.439,0.445,0.413,0.464,0.453,,0.476,0.448,0.411,0.436,0.441,0.407,0.46,0.451
0.479,0.455,0.419,0.441,0.442,0.411,0.465,0.457,,0.477,0.45,0.413,0.437,0.438,0.405,0.46,0.453
0.48,0.461,0.425,0.456,0.445,0.408,0.47,0.459,,0.479,0.452,0.417,0.446,0.441,0.402,0.464,0.455
0.48,0.468,0.432,0.464,0.453,0.427,0.474,0.463,,0.478,0.461,0.424,0.453,0.448,0.418,0.47,0.458
0.48,0.467,0.435,0.459,0.459,0.434,0.479,0.465,,0.478,0.464,0.431,0.456,0.455,0.425,0.474,0.46
0.487,0.472,0.433,0.462,0.461,0.433,0.487,0.47,,0.485,0.47,0.433,0.462,0.455,0.426,0.483,0.468
0.486,0.471,0.432,0.463,0.451,0.432,0.48,0.47,,0.482,0.466,0.43,0.461,0.445,0.425,0.475,0.466
0.49,0.465,0.435,0.462,0.459,0.431,0.475,0.468,,0.485,0.458,0.428,0.455,0.449,0.417,0.471,0.461
0.485,0.464,0.432,0.463,0.461,0.427,0.477,0.466,,0.482,0.456,0.423,0.452,0.452,0.417,0.469,0.456
0.486,0.46,0.422,0.456,0.451,0.422,0.476,0.463,,0.481,0.453,0.416,0.442,0.447,0.413,0.469,0.455
0.482,0.458,0.418,0.459,0.45,0.415,0.475,0.457,,0.481,0.45,0.414,0.445,0.447,0.41,0.467,0.452
0.475,0.452,0.415,0.445,0.439,0.415,0.465,0.454,,0.475,0.448,0.411,0.441,0.437,0.412,0.462,0.452
0.476,0.451,0.417,0.444,0.444,0.409,0.463,0.457,,0.477,0.447,0.412,0.439,0.442,0.406,0.459,0.451
0.478,0.454,0.418,0.445,0.438,0.408,0.463,0.459,,0.477,0.448,0.413,0.44,0.436,0.404,0.46,0.453
0.478,0.461,0.428,0.453,0.444,0.409,0.471,0.462,,0.474,0.451,0.417,0.444,0.441,0.406,0.464,0.455
0.488,0.467,0.434,0.463,0.454,0.429,0.479,0.462,,0.484,0.459,0.425,0.454,0.45,0.42,0.471,0.457
0.491,0.465,0.432,0.459,0.465,0.433,0.481,0.469,,0.487,0.461,0.429,0.456,0.457,0.426,0.474,0.464
0.49,0.467,0.432,0.459,0.462,0.434,0.479,0.471,,0.486,0.466,0.432,0.459,0.458,0.428,0.475,0.468
